ground_truth,person_id,video_label,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_wrist_x_vel,left_wrist_y_vel,left_wrist_z_vel,right_wrist_x_vel,right_wrist_y_vel,right_wrist_z_vel,right_arm_len,left_arm_len,right_horiz_ratio,left_horiz_ratio,right_wrist_acc
idle,ahad,rotate,0.12581859529018402,0.021512120962142944,-0.21086296462453902,-0.1446818709373474,0.018074363470077515,-0.3111509683076292,0.12359453737735748,-0.16313233971595764,-0.09409570344723761,-0.1425475776195526,-0.16949695348739624,-0.19056729995645583,0.09011210501194,-0.3641630709171295,-0.20328732603229582,-0.10981376469135284,-0.36990903317928314,-0.2436604427639395,0.0,0.0,0.0,0.0,0.0,0.0,0.39535031547593397,0.3873986285200094,0.0,0.0,0.0
idle,ahad,rotate,0.1253276914358139,0.020516663789749146,-0.2008269759826362,-0.14427711069583893,0.017265290021896362,-0.3112009200267494,0.12390165030956268,-0.16400650143623352,-0.0830134185962379,-0.1425819844007492,-0.17126348614692688,-0.19044007686898112,0.0900268405675888,-0.3651682138442993,-0.19557367591187358,-0.10937409102916718,-0.37095963954925537,-0.24024787871167064,-0.014875874374852036,-0.030165368860418144,0.3041208679364486,0.01226546186389345,-0.024517377217610676,-0.0015136884581862073,0.39619584903711075,0.3873326374955318,0.5002558593104444,0.49312777562602,0.8320014663193033
idle,ahad,rotate,0.12491229176521301,0.01957051455974579,-0.20043737068772316,-0.14331240952014923,0.016477003693580627,-0.3117326609790325,0.12397050857543945,-0.16487537324428558,-0.08214308694005013,-0.14260725677013397,-0.17267747223377228,-0.19059739634394646,0.08999726176261902,-0.3661542981863022,-0.19132568314671516,-0.10900473594665527,-0.3721291124820709,-0.2373984269797802,-0.012587868806087608,-0.02867118878798051,0.011806221057971317,0.029233368960293854,-0.023887464494416207,-0.016113362190398304,0.39713638506110843,0.38740897426092336,1.2237441618370652,0.4390271318025253,0.6785829874467253
idle,ahad,rotate,0.12449319660663605,0.01862436532974243,-0.2000477653928101,-0.1423514038324356,0.015688717365264893,-0.31226440193131566,0.12403567135334015,-0.16574424505233765,-0.08127275528386235,-0.1426362246274948,-0.17409145832061768,-0.1907547158189118,0.0899515300989151,-0.36714038252830505,-0.18707769038155675,-0.10863907635211945,-0.3732985854148865,-0.24035464646294713,-0.01269985329021107,-0.02867118878798051,0.011806221057971317,0.029121384476170395,-0.023887464494416207,-0.016113362190398304,0.3970121606195934,0.387525212419671,1.2190563559653385,0.44293281493510867,0.0033934692158623958
idle,ahad,rotate,0.12381383776664734,0.016694962978363037,-0.19362520100548863,-0.13556420803070068,0.014446079730987549,-0.31556155206635594,0.12386050820350647,-0.167211651802063,-0.06285957666113973,-0.142536461353302,-0.1759934425354004,-0.19162527145817876,0.08977606892585754,-0.3685436546802521,-0.1866626483388245,-0.10847899317741394,-0.3757398724555969,-0.24035464646294713,-0.02058663151480935,-0.05846673792058771,0.1946231632521658,0.20567260005257346,-0.03765568588719223,-0.09991364045576616,0.3982898000173245,0.38680206744899354,5.461781758190428,0.35210241146614235,5.936794598119116
idle,ahad,rotate,0.12334555387496948,0.016226232051849365,-0.19366549886763096,-0.12559384107589722,0.014403045177459717,-0.3342525903135538,0.12380647659301758,-0.167211651802063,-0.06289987452328205,-0.1416826844215393,-0.17600977420806885,-0.20516795851290226,0.08972060680389404,-0.3685436546802521,-0.18670294620096684,-0.10848984122276306,-0.3760719895362854,-0.24039494432508945,-0.014190420959935043,-0.014203967470111269,-0.0012211473376461954,0.3021323319637414,-0.0013040773796312735,-0.5663950983999353,0.40196089020720954,0.38629908094765497,231.50530127884338,0.9989759561078312,14.476822612515866
idle,ahad,rotate,0.12296831607818604,0.016226232051849365,-0.19366549886763096,-0.11514991521835327,0.014403045177459717,-0.34581112302839756,0.12380647659301758,-0.167211651802063,-0.06289987452328205,-0.14067205786705017,-0.17613422870635986,-0.21205862797796726,0.08947944641113281,-0.3685436546802521,-0.18670294620096684,-0.1084807813167572,-0.37675824761390686,-0.24355333484709263,-0.01143144838737719,0.0,0.0,0.3164826017437559,0.0,-0.35025856711647724,0.4043615827065465,0.38628726003719965,316482.6017437559,11431.44838737719,6.56413097382442
idle,ahad,rotate,0.1224537044763565,0.016226232051849365,-0.19366549886763096,-0.09682683646678925,0.014403045177459717,-0.3716553095728159,0.1238110214471817,-0.167211651802063,-0.06289987452328205,-0.13938038051128387,-0.17684364318847656,-0.24216126836836338,0.08933945000171661,-0.3685436546802521,-0.18670294620096684,-0.10846628248691559,-0.37774285674095154,-0.2889063600450754,-0.015594290964531176,0.0,0.0,0.5552448106534553,0.0,-0.7831571680126768,0.40095046295397163,0.38625496336601484,555244.8106534553,15594.290964531176,14.98112038255939
idle,ahad,rotate,0.12130396068096161,0.0192643404006958,-0.20345803815871477,-0.07677726447582245,0.013260602951049805,-0.38813641387969255,0.124079629778862,-0.16411471366882324,-0.0766051085665822,-0.13614769279956818,-0.1751939058303833,-0.2654650481417775,0.08952222764492035,-0.36539390683174133,-0.18669281620532274,-0.10812114179134369,-0.377823144197464,-0.3103850157931447,-0.03484072107257265,0.0920638893589829,-0.29674361488132767,0.6075627876050544,-0.03461946140636097,-0.4994274032386866,0.3999677684930449,0.3863329113418263,17.54924004257853,0.3784365713700083,8.805533845174345
idle,ahad,rotate,0.11894641816616058,0.03328597545623779,-0.20341669581830502,-0.052050188183784485,0.009619712829589844,-0.45586820505559444,0.12415502965450287,-0.15068072080612183,-0.07656376622617245,-0.13253016769886017,-0.1721838116645813,-0.3240393605083227,0.09008310735225677,-0.35190731287002563,-0.186651473864913,-0.10678239166736603,-0.369792103767395,-0.31034367345273495,-0.0714406822666978,0.4248980319861213,0.0012527981942350224,0.7493053421829692,-0.11033000368060497,-2.052478520481877,0.4100321084620373,0.38663682280647615,6.791430488134761,0.16813566727314008,47.313413054609434
